Kingdom	Phylum	Class	Order	Family	Genus
sq59	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum
sq60	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio
sq61	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA
sq62	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA
sq63	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
sq64	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7
sq65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium
sq66	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus
sq67	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA
sq68	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
sq69	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
sq70	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter
sq71	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
sq72	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
sq73	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
sq74	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	NA	NA
sq75	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter
sq76	Bacteria	Elusimicrobiota	4-29	NA	NA	NA
sq77	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
sq78	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
sq79	Bacteria	Poribacteria	NA	NA	NA	NA
sq80	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
sq81	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
sq82	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus
sq83	Bacteria	Desulfobacterota	NA	NA	NA	NA
sq84	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
sq85	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
sq86	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium
sq87	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
sq88	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
sq89	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
sq90	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
sq91	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	NA
sq92	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	NA
sq93	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
sq94	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
sq95	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
sq96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
sq97	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
sq98	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
sq99	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Macrococcus
sq100	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA
sq101	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
sq102	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
sq103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
sq104	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
sq105	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
sq106	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	NA
sq107	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
sq108	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter
sq109	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	NA	NA	NA
sq110	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA
sq111	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
sq112	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
sq113	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
sq114	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma
sq115	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
sq116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium
sq117	Bacteria	Firmicutes	Clostridia	NA	NA	NA
sq118	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA
sq119	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
sq120	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
sq121	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA
sq122	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
sq123	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
sq124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
sq125	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
sq126	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 3
sq127	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA
sq128	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	NA
sq129	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella
sq130	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA
sq131	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
sq132	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Pelotomaculum
sq133	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
sq134	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
sq135	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA
sq136	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
sq137	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma
sq138	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
sq139	Bacteria	Poribacteria	NA	NA	NA	NA
sq140	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
sq141	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus
sq142	Bacteria	NB1-j	NA	NA	NA	NA
sq143	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
sq144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium
sq145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
sq146	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA
