Sample	nucleic_acids	treatment	concentration
arc.B1	DNA	WM	1
arc.B2	DNA	WM	1
arc.B3	DNA	WM	1
arc.LB01A	DNA	LB	0.1
arc.LB01B	DNA	LB	0.1
arc.LB01C	DNA	LB	0.1
arc.LB05A	DNA	LB	0.5
arc.LB05B	DNA	LB	0.5
arc.LB05C	DNA	LB	0.5
arc.BHI01A	DNA	BHI	0.1
arc.BHI01B	DNA	BHI	0.1
arc.BHI01C	DNA	BHI	0.1
arc.BHI05A	DNA	BHI	0.5
arc.BHI05B	DNA	BHI	0.5
arc.BHI05C	DNA	BHI	0.5
arc.BHI05LB05	DNA	BHI_LB	0.5
arc.2C	DNA	WM	1
arc.2C.Gen4	DNA	WM	1
